Scheme Code,Maximum_Drawdown,Scheme Name,Worst_Drawdown_Date,Worst_Drawdown
100218,-100.0,JM Large Cap Fund (Regular) - IDCW ,2006-07-16,-100.0
100332,-100.0,LIC MF Large Cap Fund-Regular Plan-IDCW,2009-05-18,-100.0
100313,-100.0,LIC MF Flexi Cap Fund-Regular Plan-Growth,2009-05-18,-100.0
100312,-100.0,LIC MF Flexi Cap Fund-Regular Plan-IDCW,2009-05-18,-100.0
100668,-100.0,UTI Flexi Cap Fund - Regular Plan - IDCW,2007-12-06,-100.0
100669,-100.0,UTI - Flexi Cap Fund-Growth Option,2007-12-06,-100.0
101209,-100.0,Taurus Large Cap Fund - Regular Plan - Growth,2006-11-11,-100.0
100476,-100.0,Taurus Flexi Cap Fund - Regular Plan - Growth ,2006-11-11,-100.0
100630,-73.0,quant Multi Cap Fund-IDCW Option - Regular Plan,2009-03-25,-73.0
100219,-71.81,JM Large Cap Fund (Regular) - Growth Option,2009-03-05,-71.81
100663,-70.57,UTI Large & Mid Cap Fund - Regular Plan - IDCW,2009-07-15,-70.57
100664,-70.11,UTI Large & Mid Cap Fund - Regular Plan - Growth Option,2009-07-13,-70.11
100378,-69.83,Nippon India Vision Large & Midcap Fund - IDCW Option,2020-03-23,-69.83
101706,-69.5,ICICI Prudential Multicap Fund - IDCW,2009-03-09,-69.5
100034,-68.85,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,2009-03-09,-68.85
100519,-67.63,Franklin India Flexi Cap Fund - IDCW ,2009-03-09,-67.63
101163,-67.53,NIPPON INDIA MULTI CAP FUND - IDCW Option,2009-03-09,-67.53
100033,-67.24,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,2009-03-09,-67.24
100631,-66.99,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,2009-03-25,-66.99
101763,-66.29,HDFC Flexi Cap Fund - IDCW Plan,2009-03-20,-66.29
101593,-66.19,HSBC Large Cap Fund - Regular IDCW,2008-10-27,-66.19
100470,-65.93,Franklin India Large Cap Fund - IDCW,2009-03-09,-65.93
100348,-64.79,ICICI Prudential Large & Mid Cap Fund - IDCW,2020-03-23,-64.79
101162,-64.59,Nippon India Multi Cap Fund-Growth Plan-Bonus Option,2009-03-09,-64.59
101161,-64.59,Nippon India Multi Cap Fund-Growth Plan-Growth Option,2009-03-09,-64.59
101636,-62.49,DSP Large Cap Fund - Regular Plan - IDCW,2020-03-23,-62.49
101228,-62.1,ICICI Prudential Multicap Fund - Growth,2009-03-09,-62.1
100650,-62.06,UTI Large Cap Fund - Regular Plan - IDCW,2008-11-20,-62.06
100080,-61.55,DSP Flexi Cap Fund - Regular Plan - IDCW,2009-03-09,-61.55
101530,-60.95,SBI Large & Midcap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),2008-12-02,-60.95
100380,-60.82,Nippon India Vision Large & Midcap Fund-GROWTH PLAN-Growth Option,2009-03-09,-60.82
100379,-60.73,Nippon India Vision Large & Midcap Fund-GROWTH PLAN-Bonus Option,2009-03-09,-60.73
101762,-59.92,HDFC Flexi Cap Fund - Growth Plan,2009-03-09,-59.92
100475,-58.09,Tata Large Cap Fund -Regular Plan - Growth Option,2008-10-27,-58.09
100520,-56.43,Franklin India Flexi Cap Fund - Growth,2009-03-09,-56.43
100349,-55.66,ICICI Prudential Large & Mid Cap Fund - Growth,2008-10-27,-55.66
100651,-55.56,UTI Large Cap Fund - Regular Plan - Growth Option,2008-11-20,-55.56
100471,-55.23,Franklin India Large Cap Fund-Growth,2009-03-09,-55.23
101594,-55.17,HSBC Large Cap Fund - Regular Growth,2008-10-27,-55.17
101635,-51.73,DSP Large Cap Fund - Regular Plan - Growth,2008-10-27,-51.73
