Scheme Code,Fund House,Category,Sub Category,Scheme Name,Net Asset Value,Date
119551,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,106.4648,2026-06-29
119552,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,117.6753,2026-06-29
119553,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,104.5048,2026-06-29
108272,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,149.0423,2026-06-29
110282,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,112.9588,2026-06-29
108274,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,102.1158,2026-06-29
108273,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,386.102,2026-06-29
119550,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,402.0733,2026-06-29
128952,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,1532.8272,2017-06-14
120437,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,1039.131,2026-06-29
120438,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,2878.9204,2026-06-29
120439,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,1034.259,2026-06-29
120436,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,1038.2027,2026-06-29
128953,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,1289.4075,2015-05-18
