Scheme Code,Scheme Name,CAGR_3Y,Sharpe_Ratio,Alpha,Expense_Ratio,Maximum_Drawdown,CAGR_Rank,Sharpe_Rank,Alpha_Rank,Expense_Rank,Drawdown_Rank,CAGR_Score,Sharpe_Score,Alpha_Score,Expense_Score,Drawdown_Score,Fund_Score,Overall_Rank
101162,Nippon India Multi Cap Fund-Growth Plan-Bonus Option,16.04,0.09384475803741693,0.0872,0.17,-64.59,6.0,3.0,2.0,8.0,16.0,97.9253112033195,99.1701244813278,99.5850622406639,97.0954356846473,93.7759336099585,98.03,1
100380,Nippon India Vision Large & Midcap Fund-GROWTH PLAN-Growth Option,16.42,0.06720877743587392,0.0513,0.24,-60.82,5.0,10.0,7.0,15.0,10.0,98.3402489626556,96.2655601659751,97.5103734439834,94.1908713692946,96.2655601659751,96.83,2
101209,Taurus Large Cap Fund - Regular Plan - Growth,12.25,inf,0.022,0.16,-100.0,9.0,1.0,11.0,7.0,32.0,96.6804979253112,100.0,95.850622406639,97.5103734439834,87.13692946058092,96.51,3
101228,ICICI Prudential Multicap Fund - Growth,17.0,0.07879419555894315,0.0691,0.64,-62.1,1.0,8.0,4.0,55.0,14.0,100.0,97.0954356846473,98.7551867219917,77.59336099585063,94.6058091286307,95.12,4
100379,Nippon India Vision Large & Midcap Fund-GROWTH PLAN-Bonus Option,16.42,0.06748594761588658,0.0513,0.58,-60.73,5.0,9.0,7.0,49.0,9.0,98.3402489626556,96.6804979253112,97.5103734439834,80.08298755186722,96.6804979253112,94.85,5
100669,UTI - Flexi Cap Fund-Growth Option,7.96,inf,-0.0405,0.16,-100.0,20.0,1.0,30.0,7.0,32.0,92.11618257261411,100.0,87.96680497925311,97.5103734439834,87.13692946058092,93.57,6
100475,Tata Large Cap Fund -Regular Plan - Growth Option,10.93,0.06369449281681816,0.0144,0.54,-58.09,15.0,12.0,14.0,45.0,7.0,94.1908713692946,95.4356846473029,94.6058091286307,81.74273858921161,97.5103734439834,93.05,7
100651,UTI Large Cap Fund - Regular Plan - Growth Option,8.03,0.05776070319916081,-0.0136,0.35,-55.56,19.0,15.0,24.0,26.0,4.0,92.5311203319502,94.1908713692946,90.45643153526972,89.62655601659752,98.7551867219917,92.72,8
101635,DSP Large Cap Fund - Regular Plan - Growth,12.19,0.06573094332038434,0.0303,0.84,-51.73,10.0,11.0,10.0,75.0,1.0,96.2655601659751,95.850622406639,96.2655601659751,69.29460580912863,100.0,92.49,9
100668,UTI Flexi Cap Fund - Regular Plan - IDCW,7.96,inf,-0.0467,0.33,-100.0,20.0,1.0,31.0,24.0,32.0,92.11618257261411,100.0,87.55186721991701,90.45643153526972,87.13692946058092,92.43,10
100663,UTI Large & Mid Cap Fund - Regular Plan - IDCW,16.73,0.007195239927117736,0.0645,0.78,-70.57,3.0,22.0,5.0,69.0,29.0,99.1701244813278,91.28630705394191,98.3402489626556,71.78423236514523,88.38174273858921,91.85,11
100664,UTI Large & Mid Cap Fund - Regular Plan - Growth Option,16.73,0.03846334338618214,0.0645,0.97,-70.11,3.0,18.0,5.0,88.0,28.0,99.1701244813278,92.9460580912863,98.3402489626556,63.90041493775933,88.79668049792531,91.12,12
100312,LIC MF Flexi Cap Fund-Regular Plan-IDCW,11.79,inf,0.0081,0.86,-100.0,13.0,1.0,18.0,77.0,32.0,95.0207468879668,100.0,92.9460580912863,68.46473029045643,87.13692946058092,91.08,13
101530,SBI Large & Midcap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),14.11,0.050382520853680196,0.0512,1.11,-60.95,7.0,17.0,8.0,102.0,11.0,97.5103734439834,93.3609958506224,97.0954356846473,58.09128630705395,95.850622406639,90.31,14
101763,HDFC Flexi Cap Fund - IDCW Plan,6.06,-0.008508669992384935,-0.0171,0.34,-66.29,27.0,23.0,25.0,25.0,20.0,89.21161825726142,90.87136929460581,90.04149377593362,90.04149377593362,92.11618257261411,90.21,15
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,11.26,0.08080824514010693,0.0143,1.01,-66.99,14.0,7.0,15.0,92.0,21.0,94.6058091286307,97.5103734439834,94.1908713692946,62.24066390041494,91.70124481327801,90.1,16
101706,ICICI Prudential Multicap Fund - IDCW,7.42,-0.018574647759155113,-0.0093,0.52,-69.5,21.0,27.0,23.0,43.0,26.0,91.70124481327801,89.21161825726142,90.87136929460581,82.57261410788381,89.62655601659752,89.34,17
100034,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,4.56,-0.015456894832842447,-0.079,0.24,-68.85,29.0,26.0,34.0,15.0,25.0,88.38174273858921,89.62655601659752,86.30705394190872,94.1908713692946,90.04149377593362,89.32,18
100313,LIC MF Flexi Cap Fund-Regular Plan-Growth,11.79,inf,0.0165,1.24,-100.0,13.0,1.0,13.0,115.0,32.0,95.0207468879668,100.0,95.0207468879668,52.69709543568465,87.13692946058092,89.13,19
100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,11.96,0.06128494316752059,-0.0191,1.04,-67.24,11.0,14.0,26.0,95.0,22.0,95.850622406639,94.6058091286307,89.62655601659752,60.99585062240664,91.28630705394191,88.61,20
100349,ICICI Prudential Large & Mid Cap Fund - Growth,16.9,0.08086911082981757,0.0731,1.9,-55.66,2.0,6.0,3.0,181.0,5.0,99.5850622406639,97.9253112033195,99.1701244813278,25.311203319502074,98.3402489626556,87.82,21
100650,UTI Large Cap Fund - Regular Plan - IDCW,5.23,-0.014908498604834529,-0.0377,0.79,-62.06,28.0,25.0,29.0,70.0,13.0,88.79668049792531,90.04149377593362,88.38174273858921,71.36929460580913,95.0207468879668,87.03,22
100520,Franklin India Flexi Cap Fund - Growth,13.35,0.08410193753553871,0.0346,1.9,-56.43,8.0,5.0,9.0,181.0,6.0,97.0954356846473,98.3402489626556,96.6804979253112,25.311203319502074,97.9253112033195,86.64,23
101594,HSBC Large Cap Fund - Regular Growth,10.37,0.055371573519321704,0.0029,1.45,-55.17,17.0,16.0,20.0,136.0,2.0,93.3609958506224,93.7759336099585,92.11618257261411,43.983402489626556,99.5850622406639,86.43,24
101161,Nippon India Multi Cap Fund-Growth Plan-Growth Option,16.04,0.09384553655365471,0.0872,2.05,-64.59,6.0,2.0,2.0,196.0,16.0,97.9253112033195,99.5850622406639,99.5850622406639,19.08713692946058,93.7759336099585,86.43,25
100470,Franklin India Large Cap Fund - IDCW,0.37,-0.03636240111731845,-0.1062,0.58,-65.93,33.0,32.0,36.0,49.0,18.0,86.72199170124482,87.13692946058092,85.47717842323651,80.08298755186722,92.9460580912863,86.2,26
