Transaction_ID,Investor_ID,Scheme_Code,Transaction_Date,Transaction_Type,Units,NAV,Amount,State,KYC_Status
TXN003795,INV100001,119092,2012-12-31,Lumpsum,50.785,23.992,1218.43,Rajasthan,Verified
TXN007357,INV100002,119092,2012-12-31,SIP,182.979,23.992,4390.03,Delhi,Rejected
TXN008570,INV100003,119092,2012-12-31,SIP,121.073,23.992,2904.78,West Bengal,Verified
TXN021781,INV100004,119092,2013-01-01,SIP,81.129,23.9979,1946.93,Delhi,Verified
TXN007145,INV100005,119551,2013-01-02,SIP,9.248,103.0059,952.6,Karnataka,Verified
TXN010656,INV100006,118632,2013-01-02,SIP,54.48,14.6967,800.68,West Bengal,Verified
TXN021458,INV100007,119092,2013-01-02,Redemption,189.46,24.0036,4547.72,Karnataka,Verified
TXN010494,INV100008,120503,2013-01-02,Lumpsum,173.28,15.0253,2603.58,Delhi,Verified
TXN017060,INV100014,119092,2013-01-03,SIP,181.913,24.0092,4367.59,Tamil Nadu,Pending
TXN013531,INV100013,119092,2013-01-03,SIP,46.799,24.0092,1123.61,Telangana,Verified
TXN015251,INV100012,119551,2013-01-03,Redemption,67.327,103.0306,6936.74,Punjab,Verified
TXN015754,INV100010,119092,2013-01-03,SIP,39.84,24.0092,956.53,Maharashtra,Verified
TXN009067,INV100009,120503,2013-01-03,SIP,190.601,15.0737,2873.06,Maharashtra,Pending
TXN014410,INV100011,119551,2013-01-03,SIP,105.012,103.0306,10819.45,Delhi,Verified
TXN011507,INV100015,118632,2013-01-04,SIP,86.529,14.8037,1280.95,Punjab,Verified
TXN004255,INV100016,120503,2013-01-07,SIP,125.209,15.0913,1889.57,Telangana,Verified
TXN001049,INV100017,119092,2013-01-07,SIP,145.934,24.0314,3507.0,Tamil Nadu,Verified
TXN017620,INV100018,118632,2013-01-07,SIP,85.89,14.7718,1268.75,Rajasthan,Verified
TXN010834,INV100019,120503,2013-01-07,Lumpsum,163.534,15.0913,2467.94,Maharashtra,Verified
TXN019989,INV100020,120841,2013-01-07,SIP,46.882,30.6076,1434.95,West Bengal,Rejected
