Scheme Code,Sharpe_Ratio,Scheme Name,Sortino_Ratio,Sharpe_Rank,Sortino_Rank
100218,inf,JM Large Cap Fund (Regular) - IDCW ,inf,4.5,4.5
100332,inf,LIC MF Large Cap Fund-Regular Plan-IDCW,inf,4.5,4.5
100313,inf,LIC MF Flexi Cap Fund-Regular Plan-Growth,inf,4.5,4.5
100312,inf,LIC MF Flexi Cap Fund-Regular Plan-IDCW,inf,4.5,4.5
100668,inf,UTI Flexi Cap Fund - Regular Plan - IDCW,inf,4.5,4.5
100669,inf,UTI - Flexi Cap Fund-Growth Option,inf,4.5,4.5
101209,inf,Taurus Large Cap Fund - Regular Plan - Growth,inf,4.5,4.5
100476,inf,Taurus Flexi Cap Fund - Regular Plan - Growth ,inf,4.5,4.5
101161,0.09384553655365471,Nippon India Multi Cap Fund-Growth Plan-Growth Option,0.09384553655365471,9.0,9.0
101162,0.09384475803741693,Nippon India Multi Cap Fund-Growth Plan-Bonus Option,0.09384475803741693,10.0,10.0
101762,0.09294555114527381,HDFC Flexi Cap Fund - Growth Plan,0.09294555114527381,11.0,11.0
100520,0.08410193753553871,Franklin India Flexi Cap Fund - Growth,0.08410193753553871,12.0,12.0
100349,0.08086911082981757,ICICI Prudential Large & Mid Cap Fund - Growth,0.08086911082981757,13.0,13.0
100631,0.08080824514010693,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,0.08080824514010693,14.0,14.0
101228,0.07879419555894315,ICICI Prudential Multicap Fund - Growth,0.07879419555894315,15.0,15.0
100379,0.06748594761588658,Nippon India Vision Large & Midcap Fund-GROWTH PLAN-Bonus Option,0.06748594761588658,16.0,16.0
100380,0.06720877743587392,Nippon India Vision Large & Midcap Fund-GROWTH PLAN-Growth Option,0.06720877743587392,17.0,17.0
101635,0.06573094332038434,DSP Large Cap Fund - Regular Plan - Growth,0.06573094332038434,18.0,18.0
100475,0.06369449281681816,Tata Large Cap Fund -Regular Plan - Growth Option,0.06369449281681816,19.0,19.0
100471,0.06246285608103844,Franklin India Large Cap Fund-Growth,0.06246285608103844,20.0,20.0
100033,0.06128494316752059,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,0.06128494316752059,21.0,21.0
100651,0.05776070319916081,UTI Large Cap Fund - Regular Plan - Growth Option,0.05776070319916081,22.0,22.0
101594,0.055371573519321704,HSBC Large Cap Fund - Regular Growth,0.055371573519321704,23.0,23.0
101530,0.050382520853680196,SBI Large & Midcap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),0.050382520853680196,24.0,24.0
100664,0.03846334338618214,UTI Large & Mid Cap Fund - Regular Plan - Growth Option,0.03846334338618214,25.0,25.0
100630,0.03668774992195652,quant Multi Cap Fund-IDCW Option - Regular Plan,0.03668774992195652,26.0,26.0
100219,0.03036501444914244,JM Large Cap Fund (Regular) - Growth Option,0.03036501444914244,27.0,27.0
101163,0.026114905901769958,NIPPON INDIA MULTI CAP FUND - IDCW Option,0.026114905901769958,28.0,28.0
100663,0.007195239927117736,UTI Large & Mid Cap Fund - Regular Plan - IDCW,0.007195239927117736,29.0,29.0
101763,-0.008508669992384935,HDFC Flexi Cap Fund - IDCW Plan,-0.008508669992384935,30.0,30.0
100519,-0.013114993126948991,Franklin India Flexi Cap Fund - IDCW ,-0.013114993126948991,31.0,31.0
100650,-0.014908498604834529,UTI Large Cap Fund - Regular Plan - IDCW,-0.014908498604834529,32.0,32.0
100034,-0.015456894832842447,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,-0.015456894832842447,33.0,33.0
101706,-0.018574647759155113,ICICI Prudential Multicap Fund - IDCW,-0.018574647759155113,34.0,34.0
100080,-0.021147644819065864,DSP Flexi Cap Fund - Regular Plan - IDCW,-0.021147644819065864,35.0,35.0
100378,-0.022645228720338112,Nippon India Vision Large & Midcap Fund - IDCW Option,-0.022645228720338112,36.0,36.0
101593,-0.02441809995073689,HSBC Large Cap Fund - Regular IDCW,-0.02441809995073689,37.0,37.0
100348,-0.02591428330835368,ICICI Prudential Large & Mid Cap Fund - IDCW,-0.02591428330835368,38.0,38.0
100470,-0.03636240111731845,Franklin India Large Cap Fund - IDCW,-0.03636240111731845,39.0,39.0
101636,-0.04535957160620051,DSP Large Cap Fund - Regular Plan - IDCW,-0.04535957160620051,40.0,40.0
