Scheme Code,Scheme Name,Fund House,Category,Latest_NAV,Return_1Y,Return_3Y,Return_5Y,Expense_Ratio,Risk_Level,AUM_Cr
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,106.6451,15.38,20.77,135.58,0.67,Moderate,39656.12
119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,117.6753,19.54,46.92,88.68,1.62,Low,33867.05
119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,104.5048,9.27,25.12,58.83,2.04,High,8778.74
108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,149.0423,-0.86,42.62,35.28,2.21,Moderate,25537.14
110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,112.9588,4.75,63.09,117.25,1.85,High,32919.14
108274,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,102.1158,7.91,51.12,139.73,1.3,High,39638.77
108273,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,386.102,4.56,47.29,89.66,2.1,High,28738.41
119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,402.0733,9.95,45.16,129.28,2.09,Moderate,49458.83
128952,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,Axis Mutual Fund,Open Ended Schemes,1532.8272,16.71,39.71,17.99,1.0,Low,21195.9
120437,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,Axis Mutual Fund,Open Ended Schemes,1039.131,5.72,43.15,16.48,2.12,High,31687.48
120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,Axis Mutual Fund,Open Ended Schemes,2878.9204,19.15,6.13,93.02,2.22,Low,37422.62
120439,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,Axis Mutual Fund,Open Ended Schemes,1034.259,34.09,28.66,10.63,0.84,Moderate,17627.18
