Scheme Code,Tracking_Error,Scheme Name
100475,0.0276,Tata Large Cap Fund -Regular Plan - Growth Option
100332,0.0296,LIC MF Large Cap Fund-Regular Plan-IDCW
101594,0.0309,HSBC Large Cap Fund - Regular Growth
100651,0.0322,UTI Large Cap Fund - Regular Plan - Growth Option
100520,0.0357,Franklin India Flexi Cap Fund - Growth
100471,0.0383,Franklin India Large Cap Fund-Growth
100219,0.0396,JM Large Cap Fund (Regular) - Growth Option
100218,0.0396,JM Large Cap Fund (Regular) - IDCW 
100650,0.0413,UTI Large Cap Fund - Regular Plan - IDCW
101635,0.0426,DSP Large Cap Fund - Regular Plan - Growth
101762,0.0444,HDFC Flexi Cap Fund - Growth Plan
100349,0.0459,ICICI Prudential Large & Mid Cap Fund - Growth
100380,0.0476,Nippon India Vision Large & Midcap Fund-GROWTH PLAN-Growth Option
100379,0.0476,Nippon India Vision Large & Midcap Fund-GROWTH PLAN-Bonus Option
100664,0.0486,UTI Large & Mid Cap Fund - Regular Plan - Growth Option
100663,0.0486,UTI Large & Mid Cap Fund - Regular Plan - IDCW
101209,0.0506,Taurus Large Cap Fund - Regular Plan - Growth
101530,0.0511,SBI Large & Midcap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)
101228,0.0536,ICICI Prudential Multicap Fund - Growth
100033,0.0558,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth
101162,0.0589,Nippon India Multi Cap Fund-Growth Plan-Bonus Option
101161,0.0589,Nippon India Multi Cap Fund-Growth Plan-Growth Option
100476,0.0595,Taurus Flexi Cap Fund - Regular Plan - Growth 
100669,0.0612,UTI - Flexi Cap Fund-Growth Option
100668,0.0628,UTI Flexi Cap Fund - Regular Plan - IDCW
100313,0.0672,LIC MF Flexi Cap Fund-Regular Plan-Growth
100312,0.0676,LIC MF Flexi Cap Fund-Regular Plan-IDCW
100519,0.0759,Franklin India Flexi Cap Fund - IDCW 
100034,0.0838,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW
100630,0.0919,quant Multi Cap Fund-IDCW Option - Regular Plan
100631,0.0919,quant Multi Cap Fund-GROWTH OPTION - Regular Plan
101593,0.0924,HSBC Large Cap Fund - Regular IDCW
100348,0.0952,ICICI Prudential Large & Mid Cap Fund - IDCW
101706,0.0957,ICICI Prudential Multicap Fund - IDCW
101636,0.1006,DSP Large Cap Fund - Regular Plan - IDCW
100080,0.1042,DSP Flexi Cap Fund - Regular Plan - IDCW
100470,0.1057,Franklin India Large Cap Fund - IDCW
101763,0.1084,HDFC Flexi Cap Fund - IDCW Plan
100378,0.2723,Nippon India Vision Large & Midcap Fund - IDCW Option
101163,0.349,NIPPON INDIA MULTI CAP FUND - IDCW Option
